model_key,chunk_size,build_time,n_chunks,latency_ms,qa_source,Recall@3,Precision@3,MRR@3,Recall@5,Precision@5,MRR@5,Recall@10,Precision@10,MRR@10
BM25,256,0.53,10260,26.19,manual,0.0549,0.8867,0.9533,0.0882,0.856,0.9533,0.1613,0.79,0.9562
MiniLM,256,356.76,10260,20.8,manual,0.0341,0.5733,0.58,0.0563,0.564,0.58,0.111,0.558,0.58
MPNet,256,10886.83,10260,41.99,manual,0.0572,0.9133,0.94,0.0946,0.912,0.945,0.1739,0.854,0.945
BGE,256,651.5,10260,139.01,manual,0.061,0.98,1.0,0.1003,0.964,1.0,0.195,0.932,1.0
BM25,512,0.64,5106,11.47,manual,0.1195,0.9267,0.99,0.183,0.86,0.99,0.3014,0.748,0.99
MiniLM,512,230.56,5106,9.78,manual,0.1193,0.92,0.98,0.189,0.884,0.98,0.3277,0.796,0.98
MPNet,512,230.57,5106,53.42,manual,0.1096,0.8667,0.89,0.1805,0.856,0.903,0.3138,0.788,0.9052
BGE,512,230.62,5106,178.62,manual,0.1239,0.96,1.0,0.2025,0.94,1.0,0.3564,0.87,1.0
BM25,1024,0.44,2332,4.94,manual,0.2547,0.9267,1.0,0.3693,0.84,1.0,0.5338,0.654,1.0
MiniLM,1024,994.91,2332,9.0,manual,0.2529,0.8933,0.9667,0.3624,0.808,0.9667,0.5167,0.624,0.9667
MPNet,1024,456.29,2332,54.51,manual,0.2284,0.8467,0.9167,0.3328,0.772,0.9167,0.5072,0.634,0.9187
BGE,1024,243.86,2332,121.16,manual,0.2638,0.9333,0.9867,0.3843,0.872,0.9867,0.5854,0.716,0.9867
